"Net","Regist","anillador","Codigo","No_anillo","No_anillo.","Anillo.color","Codigo.especie","FAMILY","Genus","species","spp","Edad","Codigo.fechado","SEXO..M.H.D.","Codigo.Sexado","SEX.MOLEC","MUSCULO","PROCLO","PARINC","GRASA","MUDA.CORP","MUDA.VUEL","MUDA.COLA","DESG.VUEL","PLUMJUV","ALA","COLA","CULMEN","APERTURA","TARSO","PESO","COJO","CPIEL","CPATAS","ECTOPARASITO","SANGRE","H1","H2","H3","H4","RED","FECHA","Year.x","ECTO.ROJO","Dondectos","Cuantosectos","OBSERVACIONES","CREST","Specific.Habitat","general.habitat","Field.Site","REGION","PATCH.SIZE","Netline","Foragero","SAMPLE.NUMBER","Categories","lon","lat","ele","Net.number","Year.y"
"13_SMTF_2012","TF43","JcM","N","E1090","E1090#","NL-","MEMA","THAMNOPHILIDAE ","Megastictus","margaritatus","Megastictus margaritatus","J","B","D","-","","3","N","N","I","L","N","L","I","-","69","46","12.6","22.3","20.7","19.7","Cr","G","G","1","1+","0","7","4","6","13","11-Oct-12",2012,"","","","FTA",NA,"terra firme","clay","SMTF","San Martin","","SMTF","S-LI-F","","",-73.45568326,-3.885976877,133.7480469,"13",2012
"13_SMTF_2012","TF28","JcM","R","C0511","C0511#","-","GLSP","DENDROCOLAPTIDAE","Glyphorynchus","spirurus","Glyphorynchus spirurus","D","-","D","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","13.32","-","-","-","-","-","-","-","-","-","13","10-Oct-12",2012,"","","","DIFFICULT EXTRACTION",NA,"terra firme","clay","SMTF","San Martin","","SMTF","S-SI-B","","",-73.45568326,-3.885976877,133.7480469,"13",2012
"13_Transitional_2011","4580","SS","R","E00470","E00470#","-","HYPO","THAMNOPHILIDAE ","Hylophylax","poecilonotus","Hylophylax poecilonotus",NA,"-",NA,"-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","13","27-Aug-11",2011,"","","","",NA,"terra firme","clay","Arcilloso 2","KM 28","small","Transitional","S-LI-R","","",-73.43422911,-3.964289837,NA,"13",2011
"13_Transitional_2011","4650","KMS","R","N00105","N00105#","CD","RHME","THAMNOPHILIDAE ","Rhegmatorhina","melanosticta","Rhegmatorhina melanosticta",NA,"-",NA,"-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","30.45","-","-","-","-","1","0","9","1","6","13","29-Aug-11",2011,"","","","",NA,"terra firme","clay","Arcilloso 2","KM 28","small","Transitional","S-LI-R","","",-73.43422911,-3.964289837,NA,"13",2011
"13_Transitional_2011","4615","CS","R","E00461","E00461#","-","MIMA","TROGLODYTIDAE ","Microcerculus","marginatus","Microcerculus marginatus",NA,"-",NA,"-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","13","28-Aug-11",2011,"","","","",NA,"terra firme","clay","Arcilloso 2","KM 28","small","Transitional","G-SI-G","","",-73.43422911,-3.964289837,NA,"13",2011
"13_Transitional_2011","4601","CA","R","A00560","A00560#","-","MARE","PIPRIDAE","Machaeropterus","regulus","Machaeropterus regulus",NA,"-",NA,"-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","13","28-Aug-11",2011,"","","","",NA,"terra firme","clay","Arcilloso 2","KM 28","small","Transitional","S-FR-F","","",-73.43422911,-3.964289837,NA,"13",2011
"13_Transitional_2011","4543","JU","X","-","-#","I-R5","PHSU","TROCHILIDAE ","Phaetornis","superciliosus","Phaetornis superciliosus","A","P","D","P","","1","N","N","N","N","N","N","I","-","58","62","35.5","38.1","-","6.05","MO","N","GD","-","-","0","9","3","3","13","27-Aug-11",2011,"","","","",NA,"terra firme","clay","Arcilloso 2","KM 28","small","Transitional","S-NI-F","","QUIESCENT",-73.43422911,-3.964289837,NA,"13",2011
"13_Transitional_2011","4561","TJ","R","E00464","E00464#","-","PIER","PIPRIDAE","Pipra","erythrocephala","Pipra erythrocephala",NA,"-",NA,"-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","13","27-Aug-11",2011,"","","","",NA,"terra firme","clay","Arcilloso 2","KM 28","small","Transitional","S-FR-F","","",-73.43422911,-3.964289837,NA,"13",2011
"13_Transitional_2011","4654","AdH","N","A00577","A00577#","-","GLSP","DENDROCOLAPTIDAE","Glyphorynchus","spirurus","Glyphorynchus spirurus","A","P","D","-","","4","N","N","N","M","A","N","I","-","71","74","16","15.9","17.2","14.54","M","MG","G","1","1","1","0","1","4","13","29-Aug-11",2011,"","","","",NA,"terra firme","clay","Arcilloso 2","KM 28","small","Transitional","S-SI-B","","",-73.43422911,-3.964289837,NA,"13",2011
"13_Var Blanco_2010","4478","JU","N","E00448","E00448#","-","DIPI","PIPRIDAE","Dixiphia","pipra","Dixiphia pipra","J","O","D","-","","3","N","N","N","N","N","N","N","D","62","31","7.5","13.9","14.7","12.21","J","G","G","1","1","0","8","2","5","13","6-Dec-10",2010,"","","","",NA,"varillal humedo","wsf","Var Blanco","Porvenir","large","Var Blanco","S-FR-F","","QUIESCENT",-73.55829368,-3.91612038,123.1737061,"13",2010
